date,open,high,low,close
2020-05-21,2.82200000,2.85820000,2.57000000,2.64350000
2020-05-22,2.64490000,2.86610000,2.60610000,2.79710000
2020-05-23,2.79950000,2.83150000,2.72590000,2.75940000
2020-05-24,2.75980000,2.83240000,2.64030000,2.64330000
2020-05-25,2.64040000,2.74390000,2.62300000,2.73600000
2020-05-26,2.73440000,2.76270000,2.65380000,2.69650000
2020-05-27,2.69600000,2.75590000,2.67530000,2.70930000
2020-05-28,2.70780000,2.85000000,2.68090000,2.83190000
2020-05-29,2.83100000,2.91000000,2.79440000,2.87290000
2020-05-30,2.87500000,2.96890000,2.81810000,2.92410000
2020-05-31,2.92200000,2.96510000,2.77220000,2.80600000
2020-06-01,2.80600000,3.00420000,2.77930000,2.96640000
2020-06-02,2.96620000,3.13170000,2.70000000,2.89610000
2020-06-03,2.89400000,3.07630000,2.83000000,3.04150000
2020-06-04,3.04100000,3.08400000,2.90350000,2.99750000
2020-06-05,2.99790000,3.02170000,2.91660000,2.93330000
2020-06-06,2.93250000,2.97160000,2.90350000,2.92410000
2020-06-07,2.92410000,2.93720000,2.80590000,2.88500000
2020-06-08,2.88500000,2.95000000,2.86330000,2.94310000
2020-06-09,2.94560000,2.96210000,2.86620000,2.90140000
2020-06-10,2.90280000,2.92840000,2.85360000,2.88620000
2020-06-11,2.88580000,2.90750000,2.50170000,2.61330000
2020-06-12,2.61330000,2.76300000,2.59000000,2.66550000
2020-06-13,2.66800000,2.72380000,2.63780000,2.69530000
2020-06-14,2.69550000,2.69900000,2.55260000,2.58830000
2020-06-15,2.58630000,2.68410000,2.39020000,2.62790000
2020-06-16,2.62790000,2.67140000,2.56430000,2.61300000
2020-06-17,2.61380000,2.69560000,2.54500000,2.67910000
2020-06-18,2.67910000,2.78300000,2.55220000,2.66250000
2020-06-19,2.66340000,2.71740000,2.61110000,2.62470000
2020-06-20,2.62340000,2.65610000,2.53300000,2.61620000
2020-06-21,2.61490000,2.63150000,2.57580000,2.58950000
2020-06-22,2.58980000,2.70590000,2.57490000,2.68000000
2020-06-23,2.68160000,2.79550000,2.63540000,2.78370000
2020-06-24,2.78300000,2.86000000,2.58200000,2.62650000
2020-06-25,2.62600000,2.65200000,2.52400000,2.57900000
2020-06-26,2.57810000,2.58010000,2.44370000,2.48490000
2020-06-27,2.48670000,2.49520000,2.25000000,2.31320000
2020-06-28,2.31330000,2.43430000,2.28360000,2.36790000
2020-06-29,2.37010000,2.44310000,2.34290000,2.41220000
2020-06-30,2.41130000,2.41710000,2.35400000,2.35760000
2020-07-01,2.35840000,2.44630000,2.33500000,2.39850000
2020-07-02,2.40020000,2.40710000,2.27120000,2.33470000
2020-07-03,2.33320000,2.35170000,2.27160000,2.27640000
2020-07-04,2.27460000,2.35460000,2.27000000,2.32940000
2020-07-05,2.32830000,2.32960000,2.20800000,2.28440000
2020-07-06,2.28640000,2.46430000,2.26560000,2.43880000
2020-07-07,2.44000000,2.58850000,2.40370000,2.51050000
2020-07-08,2.51050000,2.69490000,2.48130000,2.65200000
2020-07-09,2.65000000,2.65500000,2.45660000,2.53100000
2020-07-10,2.53100000,2.58930000,2.41230000,2.54340000
2020-07-11,2.54460000,2.72810000,2.50800000,2.68200000
2020-07-12,2.68460000,2.84350000,2.57900000,2.82210000
2020-07-13,2.82400000,3.16560000,2.73010000,2.89990000
2020-07-14,2.89990000,3.05770000,2.65000000,2.95570000
2020-07-15,2.95760000,3.22470000,2.85450000,3.21500000
2020-07-16,3.21580000,3.33000000,2.93930000,3.10100000
2020-07-17,3.09880000,3.22830000,3.00450000,3.17000000
2020-07-18,3.17000000,3.17190000,2.95500000,3.00790000
2020-07-19,3.01000000,3.05670000,2.87480000,2.98250000
2020-07-20,2.98650000,2.99000000,2.65000000,2.76820000
2020-07-21,2.76620000,3.08690000,2.74020000,3.02270000
2020-07-22,3.02130000,3.13620000,2.92130000,3.10570000
2020-07-23,3.10570000,3.23290000,3.03590000,3.18810000
2020-07-24,3.18970000,3.19850000,2.99040000,3.03060000
2020-07-25,3.02940000,3.11460000,3.01660000,3.05790000
2020-07-26,3.06030000,3.11130000,2.90000000,2.98590000
2020-07-27,2.98390000,2.98390000,2.63260000,2.82750000
2020-07-28,2.82620000,2.89550000,2.72000000,2.83230000
2020-07-29,2.83260000,2.95290000,2.75200000,2.78100000
2020-07-30,2.78040000,2.85190000,2.73490000,2.80270000
2020-07-31,2.80260000,2.90640000,2.78170000,2.84010000
2020-08-01,2.84200000,3.07890000,2.82100000,3.03900000
2020-08-02,3.03890000,3.14000000,2.64450000,2.89300000
2020-08-03,2.89350000,3.09100000,2.84000000,3.07030000
2020-08-04,3.07040000,3.32800000,3.07040000,3.24380000
2020-08-05,3.24430000,3.26220000,3.07050000,3.11150000
2020-08-06,3.11160000,3.38310000,3.09670000,3.22870000
2020-08-07,3.22730000,3.28770000,2.93000000,3.08100000
2020-08-08,3.07950000,3.49250000,3.02620000,3.38200000
2020-08-09,3.38200000,3.78290000,3.27680000,3.69240000
2020-08-10,3.69150000,4.31840000,3.42200000,4.25580000
2020-08-11,4.25770000,4.42990000,3.75000000,4.01000000
2020-08-12,4.01140000,4.46710000,3.62510000,4.36050000
2020-08-13,4.36070000,4.49360000,3.94000000,4.13560000
2020-08-14,4.13570000,4.23490000,4.00620000,4.10940000
2020-08-15,4.10910000,4.32000000,3.89000000,4.06750000
2020-08-16,4.06770000,4.38500000,4.00100000,4.24010000
2020-08-17,4.23740000,4.25600000,4.01390000,4.03230000
2020-08-18,4.03670000,4.17000000,3.69000000,3.83200000
2020-08-19,3.83210000,3.93000000,3.41780000,3.62470000
2020-08-20,3.62950000,3.93900000,3.50360000,3.85460000
2020-08-21,3.85800000,3.91490000,3.33140000,3.38850000
2020-08-22,3.38470000,3.62290000,3.25710000,3.57580000
2020-08-23,3.57260000,3.62340000,3.35960000,3.51880000
2020-08-24,3.51730000,3.80510000,3.44130000,3.67910000
2020-08-25,3.67970000,3.70390000,3.29290000,3.43470000
2020-08-26,3.43430000,3.51000000,3.29580000,3.36660000
2020-08-27,3.36620000,3.41840000,3.09550000,3.22350000
2020-08-28,3.22470000,3.31480000,3.13200000,3.26350000
2020-08-29,3.26260000,3.44170000,3.21110000,3.35120000
2020-08-30,3.35000000,3.44070000,3.32650000,3.38610000
2020-08-31,3.38720000,3.46980000,3.23790000,3.24320000
2020-09-01,3.24320000,3.51950000,3.18070000,3.44480000
2020-09-02,3.44300000,3.47300000,2.89000000,3.13990000
2020-09-03,3.13910000,3.14090000,2.44000000,2.55280000
2020-09-04,2.55390000,2.85230000,2.38000000,2.74180000
2020-09-05,2.74290000,2.82900000,2.31000000,2.48210000
2020-09-06,2.48170000,2.48170000,2.33430000,2.42450000
